,iteration,sample,time
0,0,[ 7 10  0 10],0.01812124252319336
1,1,[ 4  9  0 10],0.012107372283935547
2,2,[ 6 10  0 10],0.020116329193115234
3,3,[ 6  8  0 10],0.018107175827026367
4,4,[ 4  5  1 10],0.012068033218383789
5,5,[8 9 1 8],0.020091533660888672
6,6,[ 4  3  1 10],0.018095731735229492
7,7,[4 8 2 9],0.012097835540771484
8,8,[ 5  9  1 10],0.020181894302368164
9,9,[ 7  8  0 10],0.020155668258666992
10,10,[10  9  2 10],0.018082618713378906
11,11,[ 9 10  0 10],0.012075185775756836
12,12,[ 5 10  0 10],0.02013254165649414
13,13,[ 6  8  0 10],0.0201263427734375
14,14,[ 6 10  1 10],0.01808786392211914
15,15,[ 5  8  0 10],0.012105464935302734
16,16,[ 8 10  0 10],0.020112037658691406
17,17,[ 3 10  0 10],0.02011394500732422
18,18,[ 4 10  0 10],0.020123004913330078
19,19,[5 9 1 9],0.010040760040283203
20,20,[ 7  9  1 10],0.02010822296142578
21,21,[ 3  9  1 10],0.02010941505432129
22,22,[6 7 1 9],0.01811981201171875
23,23,[6 9 0 9],0.01209259033203125
24,24,[ 9 10  0 10],0.02012467384338379
25,25,[ 8  8  0 10],0.0201261043548584
26,26,[ 5  5  0 10],0.020132780075073242
27,27,[ 6 10  5 10],0.03018021583557129
28,28,[ 6 10  1 10],0.020147323608398438
29,29,[ 6  7  1 10],0.020129680633544922
30,30,[ 7 10  1 10],0.02011585235595703
31,31,[ 7  6  1 10],0.020140647888183594
32,32,[ 5  6  1 10],0.02011585235595703
33,33,[ 1 10  0  9],0.018108606338500977
34,34,[ 9 10  0 10],0.020112037658691406
35,35,[ 6  9  1 10],0.020102739334106445
36,36,[ 8 10  1 10],0.020135164260864258
37,37,[ 6 10  2  9],0.02212667465209961
38,38,[ 5  9  1 10],0.020128250122070312
39,39,[ 6  8  1 10],0.020128250122070312
40,40,[ 5 10  2  9],0.0200955867767334
41,41,[ 4  9  0 10],0.02013230323791504
42,42,[ 7  7  0 10],0.0200958251953125
43,43,[ 7  8  2 10],0.020108461380004883
44,44,[ 4 10  1 10],0.020118236541748047
45,45,[ 7 10  2  9],0.020140886306762695
46,46,[ 6  9  1 10],0.028189420700073242
47,47,[ 4 10  1 10],0.022231340408325195
48,48,[7 9 1 9],0.02011275291442871
49,49,[ 9  7  1 10],0.020095348358154297
50,50,[ 7  4  2 10],0.0201566219329834
51,51,[3 8 1 9],0.020101547241210938
52,52,[2 7 0 9],0.028116941452026367
53,53,[ 5  9  1 10],0.022134065628051758
54,54,[ 5  9  0 10],0.02011394500732422
55,55,[ 7  9  1 10],0.020128965377807617
56,56,[ 9  9  0 10],0.020110607147216797
57,57,[ 2  6  1 10],0.02012157440185547
58,58,[ 1 10  2 10],0.028214216232299805
59,59,[ 9  7  0 10],0.02216172218322754
60,60,[ 7  8  2 10],0.02010345458984375
61,61,[ 8  9  1 10],0.020082473754882812
62,62,[ 9 10  0 10],0.020108938217163086
63,63,[ 6  7  0 10],0.0281217098236084
64,64,[ 6 10  1 10],0.022130727767944336
65,65,[ 3  9  0 10],0.0201261043548584
66,66,[ 6 10  0 10],0.020106792449951172
67,67,[ 4  9  0 10],0.028219223022460938
68,68,[ 1 10  0 10],0.022156715393066406
69,69,[ 5  8  2 10],0.020148277282714844
70,70,[ 5  8  0 10],0.020150184631347656
71,71,[ 3  7  1 10],0.03016519546508789
72,72,[ 7 10  1 10],0.020107746124267578
73,73,[ 4 10  3 10],0.02816319465637207
74,74,[ 6 10  0 10],0.022136926651000977
75,75,[ 4  7  1 10],0.02014327049255371
76,76,[ 9  8  1 10],0.030183792114257812
77,77,[ 8  9  1 10],0.020132064819335938
78,78,[ 5 10  0 10],0.028203725814819336
79,79,[ 7  8  1 10],0.022122859954833984
80,80,[ 5  9  0 10],0.020084381103515625
81,81,[9 6 1 9],0.030147790908813477
82,82,[6 8 0 9],0.020129919052124023
83,83,[ 7 10  1 10],0.028429746627807617
84,84,[6 9 1 9],0.022124528884887695
85,85,[ 3 10  0 10],0.030233383178710938
86,86,[ 7  9  0 10],0.020114898681640625
87,87,[ 7  9  3 10],0.03020167350769043
88,88,[ 4 10  3 10],0.02812981605529785
89,89,[5 8 0 9],0.022147655487060547
90,90,[ 7  5  0 10],0.020104408264160156
91,91,[ 3  8  0 10],0.030163288116455078
92,92,[ 2  9  1 10],0.02012801170349121
93,93,[ 6  6  2 10],0.03017878532409668
94,94,[ 5 10  4 10],0.03018951416015625
95,95,[ 5  7  0 10],0.020125150680541992
96,96,[ 5 10  4 10],0.030127286911010742
97,97,[ 3  9  2 10],0.02816486358642578
98,98,[ 7  9  0 10],0.0221102237701416
99,99,[ 6 10  1 10],0.030157804489135742
