,iteration,sample,time
0,0,[1 0 1 1 0 0 0],0.020151138305664062
1,1,[0 0 0 0 0 1 0],0.02389836311340332
2,2,[1 1 2 1 0 1 0],0.02593088150024414
3,3,[1 1 0 0 0 2 0],0.021940946578979492
4,4,[1 0 1 0 0 1 0],0.021939754486083984
5,5,[0 1 1 0 0 0 1],0.016066312789916992
6,6,[2 0 2 2 0 1 0],0.020122528076171875
7,7,[0 0 0 0 0 1 0],0.028171062469482422
8,8,[1 0 0 0 0 1 1],0.02010822296142578
9,9,[0 2 0 0 0 0 0],0.022166728973388672
10,10,[1 0 0 2 0 0 0],0.0230252742767334
11,11,[1 0 0 1 0 1 0],0.022115230560302734
12,12,[3 0 0 0 0 0 1],0.025196075439453125
13,13,[0 0 2 1 0 0 0],0.02011728286743164
14,14,[0 1 0 2 0 0 0],0.020123004913330078
15,15,[1 0 1 0 0 1 0],0.020099401473999023
16,16,[0 0 0 1 0 0 0],0.02013111114501953
17,17,[1 2 0 0 0 1 0],0.02817392349243164
18,18,[1 0 0 0 0 0 0],0.022188663482666016
19,19,[0 1 0 0 0 0 0],0.020116090774536133
20,20,[0 0 0 1 0 2 0],0.02011728286743164
21,21,[0 0 0 0 0 2 0],0.02814626693725586
22,22,[0 0 0 0 0 0 0],0.022171497344970703
23,23,[0 0 0 1 0 0 0],0.020107269287109375
24,24,[1 2 1 0 0 0 0],0.02011728286743164
25,25,[0 0 0 2 0 0 0],0.02814960479736328
26,26,[1 0 0 2 0 2 0],0.02217864990234375
27,27,[0 0 0 2 1 1 0],0.020381927490234375
28,28,[0 0 0 1 0 0 0],0.028146028518676758
29,29,[0 0 0 0 0 0 0],0.02213311195373535
30,30,[0 0 0 0 0 2 0],0.028209447860717773
31,31,[0 0 0 0 0 0 0],0.022150039672851562
32,32,[1 0 1 0 0 1 0],0.020106792449951172
33,33,[0 0 0 1 0 2 1],0.030153512954711914
34,34,[1 1 1 0 0 0 1],0.020125865936279297
35,35,[0 0 0 1 0 0 0],0.0302274227142334
36,36,[2 1 1 0 0 2 0],0.02010798454284668
37,37,[2 1 0 0 0 1 0],0.03016829490661621
38,38,[0 0 0 0 0 0 0],0.020114898681640625
39,39,[0 0 0 1 0 0 1],0.030245304107666016
40,40,[0 0 0 1 0 0 0],0.02012348175048828
41,41,[0 0 0 1 0 0 0],0.02812981605529785
42,42,[3 0 1 0 0 2 0],0.02212834358215332
43,43,[0 0 0 0 0 2 1],0.02820611000061035
44,44,[0 0 0 2 0 1 0],0.026591777801513672
45,45,[1 0 1 2 0 1 0],0.026927709579467773
46,46,[0 1 0 0 0 0 0],0.026928186416625977
47,47,[1 0 1 2 0 0 0],0.02282547950744629
48,48,[0 0 0 1 0 0 0],0.028203725814819336
49,49,[0 0 0 0 0 0 0],0.0221102237701416
50,50,[0 0 1 0 0 1 0],0.030129194259643555
51,51,[1 0 2 0 0 0 1],0.02013540267944336
52,52,[0 1 0 1 0 0 0],0.03019118309020996
53,53,[0 0 0 0 0 0 1],0.030178070068359375
54,54,[1 0 0 0 0 0 1],0.020128488540649414
55,55,[1 0 0 1 0 1 1],0.030202865600585938
56,56,[0 1 0 0 0 1 0],0.03023672103881836
57,57,[0 1 0 1 0 1 0],0.02812671661376953
58,58,[1 1 0 0 0 2 0],0.02216172218322754
59,59,[0 0 0 4 0 0 0],0.030149221420288086
60,60,[0 0 0 0 0 2 0],0.020111799240112305
61,61,[0 1 0 1 0 0 0],0.03046274185180664
62,62,[1 0 0 0 0 1 0],0.030195951461791992
63,63,[0 0 1 0 0 0 1],0.02819681167602539
64,64,[0 0 0 0 0 0 0],0.022144079208374023
65,65,[3 0 0 1 0 0 0],0.030162334442138672
66,66,[0 0 0 0 0 1 0],0.030222654342651367
67,67,[0 2 1 0 0 1 0],0.028112173080444336
68,68,[0 1 0 0 0 0 0],0.03015303611755371
69,69,[0 0 0 1 0 1 0],0.022173166275024414
70,70,[0 0 0 1 0 1 0],0.030144453048706055
71,71,[0 0 1 0 0 1 0],0.030186891555786133
72,72,[0 1 0 1 0 1 0],0.030197858810424805
73,73,[1 1 0 2 0 0 0],0.03024911880493164
74,74,[0 0 1 1 0 2 0],0.02812480926513672
75,75,[0 0 1 0 0 0 0],0.022106170654296875
76,76,[1 0 3 0 0 1 1],0.030212879180908203
77,77,[0 0 0 0 0 0 0],0.030188322067260742
78,78,[1 0 1 0 0 0 1],0.0301816463470459
79,79,[2 1 0 0 0 1 0],0.030150413513183594
80,80,[2 0 0 0 0 0 0],0.036307573318481445
81,81,[0 1 0 2 0 0 0],0.024252891540527344
82,82,[0 0 0 0 0 1 0],0.030140399932861328
83,83,[0 1 1 0 0 0 0],0.030393600463867188
84,84,[1 0 0 1 0 1 0],0.030158281326293945
85,85,[0 0 0 1 0 0 0],0.030190467834472656
86,86,[0 1 0 0 0 1 0],0.030199766159057617
87,87,[0 2 1 1 0 3 0],0.030231952667236328
88,88,[1 0 0 1 0 1 1],0.030153989791870117
89,89,[0 1 0 0 0 0 0],0.030180931091308594
90,90,[1 0 0 1 0 2 0],0.030200481414794922
91,91,[0 1 0 1 0 0 0],0.03022027015686035
92,92,[0 0 3 2 0 1 0],0.03016185760498047
93,93,[0 0 0 1 0 0 0],0.030248165130615234
94,94,[1 0 0 2 0 0 0],0.03018045425415039
95,95,[0 1 1 2 0 0 0],0.03016519546508789
96,96,[1 0 0 1 0 1 0],0.030154943466186523
97,97,[1 1 0 0 0 0 0],0.030241012573242188
98,98,[1 1 0 0 0 0 0],0.030153989791870117
99,99,[0 0 1 0 0 1 0],0.03020763397216797
