,iteration,sample,time
0,0,[ 1  9  7  6  3  5 10  0],0.05025219917297363
1,1,[3 4 9 4 0 6 8 0],0.03015446662902832
2,2,[1 6 3 3 1 5 8 2],0.030186176300048828
3,3,[5 8 4 2 1 2 9 0],0.028115034103393555
4,4,[ 1  6  6  5  5  2 10  2],0.04223227500915527
5,5,[ 2  5 10  2  1  2 10  3],0.040184736251831055
6,6,[2 8 8 6 1 5 7 7],0.16881847381591797
7,7,[ 2  9  5  4  2  5 10  0],0.05024075508117676
8,8,[ 2  4  9  5  1  2 10  1],0.03017449378967285
9,9,[1 8 4 2 1 0 7 1],0.012059688568115234
10,10,[1 9 4 4 1 2 9 0],0.0301668643951416
11,11,[6 9 9 2 0 0 9 0],0.018068313598632812
12,12,[ 5  8  8  5  0  5 10  1],0.042235612869262695
13,13,[5 8 2 1 2 2 9 1],0.030139923095703125
14,14,[ 3 10  5  3  3  2 10  3],0.11055731773376465
15,15,[ 1 10  7  3  2  1  5  4],0.040204524993896484
16,16,[ 3  5  9  2  0  5 10  1],0.040178775787353516
17,17,[ 3  6  3  2  1  2 10  0],0.020091772079467773
18,18,[4 4 7 5 0 0 7 1],0.02811455726623535
19,19,[ 3  8  4  4  0  3 10  1],0.022135019302368164
20,20,[3 9 8 4 0 2 9 1],0.04043889045715332
21,21,[ 3  2  3  4  1  5 10  2],0.0281527042388916
22,22,[ 0 10  8  3  0  0 10  2],0.022171735763549805
23,23,[3 8 6 3 2 3 5 2],0.05020618438720703
24,24,[3 9 5 1 1 5 9 4],0.060297489166259766
25,25,[ 2  9  7  3  0  3 10  4],0.06032609939575195
26,26,[ 2  7  9  2  0  4 10  1],0.03019118309020996
27,27,[6 7 6 8 0 1 8 4],0.0603182315826416
28,28,[6 8 9 4 2 2 7 1],0.060263633728027344
29,29,[4 7 5 1 2 4 8 1],0.030141115188598633
30,30,[5 5 7 3 2 4 8 1],0.08044838905334473
31,31,[3 5 5 2 1 7 8 4],0.07035470008850098
32,32,[3 4 8 2 2 7 6 2],0.05825400352478027
33,33,[3 6 9 2 1 2 6 1],0.03216910362243652
34,34,[2 9 8 3 1 1 8 0],0.020136117935180664
35,35,[3 6 4 5 2 2 9 2],0.04825472831726074
36,36,[4 5 4 3 0 2 7 1],0.02212357521057129
