,iteration,sample,time
0,0,[10 10  2  2  7  9  6 10 10],0.6831080913543701
1,1,[ 8  9  3  9 10 10  7  9 10],4.377758502960205
2,2,[ 6  9  2  5 10 10  3 10  9],1.2575547695159912
3,3,[10 10  1  4  7  9  6 10 10],1.3947937488555908
4,4,[ 7  8  0  6  3 10  5 10 10],0.6451451778411865
5,5,[ 8 10  0  3  7  8  3  9 10],0.41193723678588867
6,6,[ 9 10  2  5  4  7  3 10 10],0.6326789855957031
7,7,[10  9  2  7  4 10  3 10 10],1.1351430416107178
8,8,[10  7  2  5  6 10  5 10 10],1.5065193176269531
9,9,[10  9  0  3  8  9  4  9  9],0.5324366092681885
10,10,[10 10  2  4  5 10  4 10 10],1.1732096672058105
11,11,[10 10  1  3  8 10  8  8 10],0.8457369804382324
12,12,[10  9  3  5  8  9  4  7 10],2.220270872116089
13,13,[10 10  3  4  4 10  2 10 10],0.5825986862182617
14,14,[ 8 10  2  5  4  9  2  9 10],0.653008222579956
15,15,[ 9  7  3  5  8  9  4  9 10],1.2552177906036377
16,16,[10  8  3  9  4 10  5 10 10],2.7650673389434814
17,17,[ 7 10  3  4  2  9  6  9 10],0.9241659641265869
18,18,[ 9  8  3  3  8 10  5  8 10],1.1549391746520996
19,19,[ 7  5  4  3  7  7  4 10 10],1.082956075668335
20,20,[10  9  5  6  6 10  4  9 10],1.2172441482543945
21,21,[10 10  3  4  9  9  7 10 10],2.039368152618408
22,22,[ 8 10  3  4  6 10  5 10 10],1.5065131187438965
23,23,[ 8 10  3  5  6 10  6 10 10],1.2658839225769043
24,24,[10 10  3  3  4 10  5 10 10],0.8035790920257568
25,25,[ 6  8  8  5  5 10  3  6  9],2.260960340499878
26,26,[10 10  3  7  9  9  4 10 10],1.90814208984375
27,27,[ 7  8  4  8  9  9  5 10 10],1.9763283729553223
28,28,[10 10  1  6  5 10  3  9 10],0.9065194129943848
29,29,[10  9  0  6  9  5  1  5 10],0.4319887161254883
30,30,[ 8 10  1  5  4  9  5 10 10],0.5805292129516602
31,31,[10 10  0  5  9 10  7 10 10],1.639380931854248
32,32,[10  9  4  2  6  8  5 10 10],1.0328576564788818
33,33,[ 7  7  3  7  9  9  6 10  9],1.9404330253601074
34,34,[ 9  9  3  5  6 10  5  8 10],2.1297988891601562
35,35,[10  8  0 10  6  9  6 10  9],1.597057819366455
36,36,[ 7 10  2  2  7  9  4  9 10],0.8943769931793213
37,37,[ 7  8  3  8  6 10  4  8 10],1.504962682723999
38,38,[10 10  3  3  2  5  3 10 10],0.34347033500671387
39,39,[ 9 10  5  1  2  9  3 10  8],0.44204068183898926
40,40,[10 10  2  6  6  3  9 10  9],0.7130036354064941
41,41,[10  7  5  6  5  9  5  9 10],1.8058300018310547
42,42,[10  7  1  4  4 10  5  9  9],0.6449456214904785
43,43,[ 9  9  1  3  5  9  3 10 10],0.6628408432006836
44,44,[10  8  4  6  7 10  4 10 10],2.077498197555542
45,45,[ 6  5  1  5  2 10  4  9 10],0.353557825088501
46,46,[10 10  2  3  6  8  6 10  9],1.366351842880249
47,47,[10  9  0  8 10  6  1 10 10],0.5022597312927246
48,48,[10  9  0  6  9  8  4 10  9],0.7233161926269531
49,49,[10 10  2  9 10 10  1 10 10],0.8216993808746338
50,50,[ 8 10  6  3  7  9  5  8 10],1.5184941291809082
51,51,[10  9  4  7  7  5  3 10  9],1.637643575668335
52,52,[10  9  1  4  9  9  1  9 10],0.7229747772216797
53,53,[ 9 10  3  2  3 10  6 10  9],0.952211856842041
54,54,[10 10  1  6  6  8  2  8 10],0.48432183265686035
55,55,[10 10  3  3  2 10  6 10 10],0.5723831653594971
56,56,[10 10  3  6  8  9  5 10  9],2.653782367706299
57,57,[ 9 10  1  4  7  8  7  9 10],1.2059364318847656
58,58,[10 10  1  9  8 10  8 10  7],1.5262436866760254
59,59,[ 9 10  3  3 10 10  5  9 10],2.56174635887146
60,60,[10 10  1  4  7  7  4  8 10],0.876166820526123
61,61,[ 9 10  3  2  1 10  3 10 10],0.2611672878265381
62,62,[10  8  2  2  8  9  4  8 10],0.9846549034118652
63,63,[ 6 10  3  9  8 10  5 10 10],2.633090019226074
64,64,[10 10  1  3  9  8  8 10 10],1.3463165760040283
65,65,[ 8 10  1  9 10  4  2  9  7],0.8640310764312744
66,66,[10  8  2  5  2 10  2 10 10],0.6428530216217041
67,67,[10  9  3  5  5 10  5  7 10],0.9542422294616699
68,68,[10 10  2  4  8  7  4  6 10],1.004547119140625
69,69,[ 9  9  3  2  9  8  1 10  9],0.7133285999298096
70,70,[10 10  0  4  4 10  4  9 10],0.43219637870788574
71,71,[10 10  6 10  5  6  7 10  7],1.737333059310913
72,72,[10 10  1  8  5 10  3  9 10],0.8236804008483887
73,73,[10  6  1  4  8 10  6 10  9],1.1453356742858887
74,74,[ 8 10  0  3  3 10  8  9 10],0.4520399570465088
75,75,[10  9  0 10  6  7  3 10 10],0.8820557594299316
76,76,[ 9  8  3  3  5 10  7  9 10],1.3159019947052002
77,77,[ 7 10  2  4  6 10  5  9  9],1.1269245147705078
78,78,[ 7 10  2  4  9 10  5  8 10],1.4065539836883545
79,79,[10  9  4  5  7  9  3  6 10],2.049666166305542
80,80,[ 9 10  2  5  7  8  8 10  7],2.4913902282714844
81,81,[ 9 10  3  2  5  8  5 10 10],0.6329009532928467
82,82,[10  8  2 10  8 10 10  9  9],2.94578218460083
83,83,[ 8 10  2  4  7  9  5  9  9],1.3638603687286377
84,84,[10  9  3  8  5 10  5 10 10],2.1293036937713623
85,85,[10  8  1 10  3  8  3  9 10],0.49440789222717285
86,86,[ 9 10  4  6  4  9  7  8 10],2.0674545764923096
87,87,[ 9 10  4  6  7 10  1 10  9],1.2982704639434814
88,88,[10  7  3  3 10 10  4 10 10],1.4569883346557617
89,89,[10  9  5  6  4  9  5 10  9],1.124812364578247
90,90,[ 9  7  4  4  7 10  5 10  9],1.143042802810669
91,91,[10  6  1  4  7  9  3 10  9],0.6450448036193848
92,92,[10  9  2  6  8 10  0 10 10],0.652979850769043
93,93,[10  9  1  7  8 10  5 10 10],1.466644048690796
94,94,[10  7  2  1  6  8  4  9  9],0.6126441955566406
95,95,[ 9  8  0  7  9  8  1 10 10],0.3715980052947998
96,96,[10 10  3  6  8  7  4 10 10],1.5670368671417236
97,97,[ 9  9  1  7  7 10  0 10  9],0.46018004417419434
98,98,[ 9 10  1  5  4  9  5 10 10],0.7756481170654297
99,99,[ 9 10  0  5 10  9  3 10 10],0.6611752510070801
